City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sorong,ID,84.52,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
3,Ballina,AU,80.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
7,Porto Novo,BJ,76.82,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
13,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
14,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
24,Buala,SB,82.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
31,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
35,Inhambane,MZ,77.25,broken clouds,-23.865,35.3833,Oceano
44,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Sawtell,AU,79.12,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
56,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
58,Codrington,AU,91.87,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
62,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
66,Boyolangu,ID,82.85,overcast clouds,-8.1181,111.8935,Yos ega cv
80,Batticaloa,LK,75.52,broken clouds,7.7102,81.6924,Grand Star Guest House
82,Rikitea,PF,78.67,clear sky,-23.1203,-134.9692,People ThankYou
85,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Vila Velha,BR,75.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
87,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
88,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Mackay,AU,80.69,light intensity shower rain,-21.15,149.2,International Lodge Motel
95,Broken Hill,AU,92.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
106,Cockburn Town,TC,77.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
107,Currais Novos,BR,75.0,overcast clouds,-6.2608,-36.5178,Sâmily Flat Hotel
110,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
112,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
118,Port Lincoln,AU,76.33,clear sky,-34.7333,135.8667,Port Lincoln Hotel
120,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
128,Kavaratti,IN,77.31,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
131,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
135,Emerald,AU,89.74,broken clouds,-23.5333,148.1667,The Irish Village
137,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
141,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
148,Basco,PH,75.24,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
151,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
169,Faanui,PF,81.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Honiara,SB,80.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
171,Alyangula,AU,89.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
179,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
187,Meulaboh,ID,80.02,scattered clouds,4.1363,96.1285,Kost Pria
188,Vaini,TO,87.96,few clouds,-21.2,-175.2,Keleti Beach Resort
