City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Chulym,RU,55.0997,80.9572,-18.33,100,100,3.69,overcast clouds,2022-01-27 01:47:23
1,Sorong,ID,-0.8833,131.25,84.52,71,97,7.87,overcast clouds,2022-01-27 01:42:50
2,Busselton,AU,-33.65,115.3333,73.04,42,0,9.71,clear sky,2022-01-27 01:47:24
3,Ballina,AU,-28.8667,153.5667,80.78,68,75,10.36,broken clouds,2022-01-27 01:47:24
4,Corrales,US,35.2378,-106.6067,39.88,60,1,1.99,clear sky,2022-01-27 01:47:25
5,Kruisfontein,ZA,-34.0033,24.7314,64.89,95,83,1.95,broken clouds,2022-01-27 01:47:25
6,Bluff,NZ,-46.6,168.3333,58.8,58,48,12.17,scattered clouds,2022-01-27 01:47:25
7,Porto Novo,BJ,6.4965,2.6036,76.82,85,0,2.15,clear sky,2022-01-27 01:47:26
8,Avera,US,33.194,-82.5271,46.71,72,33,8.81,scattered clouds,2022-01-27 01:47:26
9,Ponta Delgada,PT,37.7333,-25.6667,58.5,72,20,11.5,few clouds,2022-01-27 01:47:27
10,Ati,TD,13.2154,18.3353,64.11,22,4,16.33,clear sky,2022-01-27 01:47:27
11,Ulaanbaatar,MN,47.9077,106.8832,-21.87,69,4,0.0,clear sky,2022-01-27 01:47:09
12,Victoria,HK,22.2855,114.1577,69.39,86,59,1.99,broken clouds,2022-01-27 01:43:08
13,Pekan,MY,3.4836,103.3996,77.11,71,100,9.15,overcast clouds,2022-01-27 01:47:28
14,Miri,MY,4.4148,114.0089,77.14,94,40,0.0,scattered clouds,2022-01-27 01:47:28
15,Katangli,RU,51.7102,143.2326,1.27,85,15,4.94,few clouds,2022-01-27 01:47:29
16,Cape Town,ZA,-33.9258,18.4232,67.12,78,0,1.99,clear sky,2022-01-27 01:43:09
17,Upernavik,GL,72.7868,-56.1549,5.11,85,100,11.54,overcast clouds,2022-01-27 01:47:29
18,Rosarito,MX,32.3333,-117.0333,60.93,60,2,2.42,clear sky,2022-01-27 01:47:30
19,Atbasar,KZ,51.8,68.3333,-11.45,100,100,3.06,overcast clouds,2022-01-27 01:43:23
20,Hobart,AU,-42.8794,147.3294,73.26,56,75,16.11,broken clouds,2022-01-27 01:45:53
21,Tortoli,IT,39.9256,9.6572,44.42,81,0,4.61,clear sky,2022-01-27 01:47:31
22,Saskylakh,RU,71.9167,114.0833,-12.86,94,54,4.54,broken clouds,2022-01-27 01:44:33
23,Dikson,RU,73.5069,80.5464,12.13,93,100,27.92,light snow,2022-01-27 01:47:31
24,Buala,SB,-8.145,159.5921,82.67,74,100,5.53,light rain,2022-01-27 01:47:32
25,Ostrovnoy,RU,68.0531,39.5131,10.31,98,74,19.53,broken clouds,2022-01-27 01:47:32
26,Te Anau,NZ,-45.4167,167.7167,62.13,38,25,3.87,scattered clouds,2022-01-27 01:44:05
27,Mar Del Plata,AR,-38.0023,-57.5575,64.09,69,40,1.99,scattered clouds,2022-01-27 01:47:32
28,Barrow,US,71.2906,-156.7887,-12.98,77,0,14.97,clear sky,2022-01-27 01:46:49
29,Hami,CN,42.8,93.45,22.21,44,9,2.17,clear sky,2022-01-27 01:47:03
30,Berlevag,NO,70.8578,29.0864,24.35,78,100,13.44,overcast clouds,2022-01-27 01:47:33
31,Avarua,CK,-21.2078,-159.775,82.45,83,75,13.8,broken clouds,2022-01-27 01:47:34
32,Malanje,AO,-9.5402,16.341,61.97,99,100,3.18,overcast clouds,2022-01-27 01:47:34
33,Port-Cartier,CA,50.0334,-66.8654,-9.18,97,39,7.05,scattered clouds,2022-01-27 01:47:34
34,Kaihua,CN,23.3687,104.28,57.58,84,99,8.9,overcast clouds,2022-01-27 01:47:35
35,Inhambane,MZ,-23.865,35.3833,77.25,87,78,8.81,broken clouds,2022-01-27 01:44:09
36,Zhanaozen,KZ,43.3,52.8,32.22,63,97,13.58,overcast clouds,2022-01-27 01:47:35
37,Norman Wells,CA,65.282,-126.8329,8.64,85,75,2.3,broken clouds,2022-01-27 01:44:34
38,Louisville,US,38.2542,-85.7594,21.96,53,0,0.0,clear sky,2022-01-27 01:45:02
39,Puerto Ayora,EC,-0.7393,-90.3518,73.36,90,100,6.46,overcast clouds,2022-01-27 01:47:36
40,Khatanga,RU,71.9667,102.5,1.62,88,100,14.29,overcast clouds,2022-01-27 01:47:37
41,Bredasdorp,ZA,-34.5322,20.0403,63.28,88,20,3.44,few clouds,2022-01-27 01:47:37
42,Ushuaia,AR,-54.8,-68.3,49.66,76,40,27.63,scattered clouds,2022-01-27 01:47:37
43,Jamestown,US,42.097,-79.2353,15.12,78,0,5.75,clear sky,2022-01-27 01:46:23
44,Carnarvon,AU,-24.8667,113.6333,78.87,69,75,12.66,broken clouds,2022-01-27 01:47:38
45,East London,ZA,-33.0153,27.9116,72.61,92,28,2.73,scattered clouds,2022-01-27 01:48:38
46,Zverinogolovskoye,RU,54.4586,64.8542,8.49,91,100,11.72,overcast clouds,2022-01-27 01:48:39
47,Chimoio,MZ,-19.1164,33.4833,69.66,100,75,2.82,light rain,2022-01-27 01:48:39
48,Salalah,OM,17.0151,54.0924,66.29,72,0,3.44,clear sky,2022-01-27 01:48:40
49,Provideniya,RU,64.3833,-173.3,-2.09,71,75,6.71,broken clouds,2022-01-27 01:48:40
50,Omsukchan,RU,62.5333,155.8,-26.01,98,90,4.79,overcast clouds,2022-01-27 01:48:41
51,Thunder Bay,CA,48.4001,-89.3168,19.56,74,100,14.97,overcast clouds,2022-01-27 01:48:41
52,Port Alfred,ZA,-33.5906,26.891,72.48,92,92,2.59,overcast clouds,2022-01-27 01:46:25
53,Kaitangata,NZ,-46.2817,169.8464,57.92,55,27,14.25,scattered clouds,2022-01-27 01:48:42
54,Oktyabrskiy,RU,54.4815,53.471,13.89,93,100,10.09,overcast clouds,2022-01-27 01:48:42
55,Sawtell,AU,-30.3833,153.1,79.12,74,100,6.91,overcast clouds,2022-01-27 01:48:42
56,Geraldton,AU,-28.7667,114.6,81.01,47,0,19.57,clear sky,2022-01-27 01:48:43
57,Punta Arenas,CL,-53.15,-70.9167,50.11,76,40,28.77,scattered clouds,2022-01-27 01:41:43
58,Codrington,AU,-38.2667,141.9667,91.87,42,26,9.8,scattered clouds,2022-01-27 01:48:43
59,Longyearbyen,SJ,78.2186,15.6401,10.24,61,75,12.66,broken clouds,2022-01-27 01:48:44
60,Hirtshals,DK,57.5881,9.9592,43.86,94,100,28.95,overcast clouds,2022-01-27 01:48:44
61,Aksarka,RU,66.5606,67.7975,7.25,93,100,8.72,overcast clouds,2022-01-27 01:48:45
62,Nanakuli,US,21.3906,-158.1547,80.55,53,0,11.5,clear sky,2022-01-27 01:48:45
63,Kutum,SD,14.2,24.6667,50.14,30,100,14.9,overcast clouds,2022-01-27 01:48:45
64,Kodiak,US,57.79,-152.4072,35.11,87,100,12.66,mist,2022-01-27 01:46:23
65,Doha,QA,25.2867,51.5333,64.29,94,0,4.61,clear sky,2022-01-27 01:45:54
66,Boyolangu,ID,-8.1181,111.8935,82.85,73,90,1.83,overcast clouds,2022-01-27 01:48:46
67,Talaya,RU,61.3833,152.75,-31.23,99,100,2.71,overcast clouds,2022-01-27 01:48:46
68,Hongjiang,CN,27.11,109.9956,38.53,95,100,4.65,overcast clouds,2022-01-27 01:48:47
69,Dalvik,IS,65.9702,-18.5286,31.93,79,100,8.14,overcast clouds,2022-01-27 01:48:47
70,Henties Bay,NA,-22.116,14.2845,66.85,88,100,7.0,overcast clouds,2022-01-27 01:44:07
71,Ponta Do Sol,PT,32.6667,-17.1,60.71,74,51,5.61,broken clouds,2022-01-27 01:48:48
72,Hay River,CA,60.8156,-115.7999,12.18,79,75,4.61,light snow,2022-01-27 01:45:45
